"","PFA16NM","ethnicity","stops","arrests"
"154","Bedfordshire","None",2151,2468
"155","Bedfordshire","Other",48,420
"156","Bedfordshire","White",5129,19625
"157","Hertfordshire","Asian",2474,2565
"158","Hertfordshire","Black",3314,4018
"159","Hertfordshire","Mixed",1556,2067
"160","Hertfordshire","None",6202,7314
"161","Hertfordshire","Other",235,704
"162","Hertfordshire","White",22682,34999
"163","Essex","Asian",1281,1258
"164","Essex","Black",3408,3289
"165","Essex","Mixed",867,1655
"166","Essex","None",4037,34225
"167","Essex","Other",94,540
"168","Essex","White",25652,38978
"169","Thames Valley","Asian",5806,13040
"170","Thames Valley","Black",4448,12003
"171","Thames Valley","Mixed",2482,7354
"172","Thames Valley","None",8520,9511
"173","Thames Valley","Other",170,1424
"174","Thames Valley","White",28003,92601
"175","Hampshire","Asian",1593,1871
"176","Hampshire","Black",3479,3753
"177","Hampshire","Mixed",1280,1899
"178","Hampshire","None",5291,3953
"179","Hampshire","Other",104,769
"180","Hampshire","White",36318,63644
"181","Surrey","Asian",2235,2245
"182","Surrey","Black",2122,2389
"183","Surrey","Mixed",1041,1199
"184","Surrey","None",3721,1213
"185","Surrey","Other",114,590
"186","Surrey","White",20955,30711
"187","Kent","Asian",2956,2805
"188","Kent","Black",3181,5209
"189","Kent","Mixed",740,1901
"190","Kent","None",5767,15433
"191","Kent","Other",266,2009
"192","Kent","White",23968,76297
"193","Sussex","Asian",1629,1876
"194","Sussex","Black",3025,4164
"195","Sussex","Mixed",902,1973
"196","Sussex","None",2128,9099
"197","Sussex","Other",96,755
"198","Sussex","White",26124,54320
"199","City of London","Asian",1269,773
"200","City of London","Black",1089,1013
"201","City of London","Mixed",306,321
"202","City of London","None",2079,634
"203","City of London","Other",106,178
"204","City of London","White",3486,3075
"205","Devon and Cornwall","Asian",238,691
"206","Devon and Cornwall","Black",410,1072
"207","Devon and Cornwall","Mixed",174,604
"208","Devon and Cornwall","None",2285,3779
"209","Devon and Cornwall","Other",34,364
"210","Devon and Cornwall","White",18091,44183
"211","Avon and Somerset","Asian",575,1816
"212","Avon and Somerset","Black",2288,6432
"213","Avon and Somerset","Mixed",664,2849
"214","Avon and Somerset","None",9592,1790
"215","Avon and Somerset","Other",81,644
"216","Avon and Somerset","White",16995,69823
"217","Gloucestershire","Asian",187,548
"218","Gloucestershire","Black",602,1311
"219","Gloucestershire","Mixed",359,627
